Passager_ID,Date_Heure_Debut_Parcours,Vol,Siege,Porte,Aeroport_Depart,Aeroport_Arrivee,Heure_Decollage,Heure_Atterrissage,Entree_Terminal,Enregistrement,Controle_Securite,Controle_Passeport,Duty_Free,Porte_Embarquement,Recuperation_Bagages,Sortie_Aeroport
P00018,2025-01-24 08:31:00,386m,6C,B30,NCE,AMS,2025-01-24 11:05:07.777323,2025-01-24 17:31:26.389196,15m,12m,36m,14m,25m,23m,59m,13m
P00019,2025-01-15 21:08:00,,23D,F7,BOD,LHR,2025-01-15 23:47:35.456586,2025-01-16 08:14:19.063252,5m,IN (13m),,,,,,
P00020,2025-01-25 09:50:00,428m,4B,G11,NCE,FCO,2025-01-25 12:37:26.756271,2025-01-25 19:45:04.678630,6m,23m,38m,19m,11m,36m,42m,18m
P00021,2025-01-24 02:38:00,77m,17F,D28,NCE,CDG,2025-01-24 04:36:24.893260,2025-01-24 05:53:25.311757,9m,14m,23m,5m,15m,25m,22m,12m
P00022,2025-01-24 03:56:00,255m,25C,H15,LYS,FCO,2025-01-24 06:24:52.319213,2025-01-24 10:39:23.438580,10m,22m,27m,15m,43m,23m,49m,7m
P00023,2025-01-13 06:33:00,435m,13D,C16,BOD,LHR,2025-01-13 08:50:47.326729,2025-01-13 16:05:33.472305,5m,9m,27m,14m,29m,42m,49m,12m
P00024,2025-01-28 18:48:00,354m,12D,B18,NCE,DXB,2025-01-28 20:54:02.114141,2025-01-29 02:48:31.694175,7m,27m,13m,10m,14m,14m,46m,9m
P00025,2025-01-14 00:57:00,IN (83m),21D,A28,LYS,NCE,2025-01-14 02:50:58.352334,2025-01-14 04:53:58.608698,5m,10m,12m,3m,17m,33m,,
P00026,2025-01-13 03:52:00,104m,40D,G5,ORY,LYS,2025-01-13 05:30:14.196247,2025-01-13 07:14:41.971841,6m,14m,23m,7m,17m,15m,17m,12m
P00027,2025-01-14 20:06:00,48m,38B,A29,LYS,ORY,2025-01-14 22:12:15.224033,2025-01-14 22:59:53.932846,6m,19m,28m,6m,20m,20m,17m,10m
P00028,2025-01-03 12:37:00,601m,26D,E22,ORY,FRA,2025-01-03 15:21:16.250572,2025-01-04 01:22:14.930923,6m,24m,14m,13m,49m,28m,30m,10m
P00029,2025-01-20 05:28:00,266m,2A,G21,ORY,LHR,2025-01-20 08:08:44.508774,2025-01-20 12:34:27.072134,9m,19m,19m,15m,18m,37m,26m,4m
P00030,2025-01-08 13:15:00,97m,39A,E2,NCE,ORY,2025-01-08 14:52:18.006275,2025-01-08 16:29:47.279675,5m,15m,12m,4m,20m,25m,21m,10m
P00031,2025-01-30 21:04:00,63m,27A,G22,LYS,NCE,2025-01-30 23:20:01.506253,2025-01-31 00:23:15.181965,6m,22m,23m,5m,36m,25m,17m,10m
P00032,2025-01-30 12:56:00,496m,10F,A4,NCE,LHR,2025-01-30 15:15:51.389958,2025-01-30 23:31:31.911783,6m,15m,19m,13m,14m,33m,33m,10m
P00033,2025-01-26 09:31:00,77m,16C,E21,BOD,NCE,2025-01-26 12:07:15.284630,2025-01-26 13:24:07.479439,8m,18m,27m,4m,34m,43m,19m,13m
P00034,2025-01-13 06:10:00,502m,40E,E7,CDG,AMS,2025-01-13 08:28:31.591382,2025-01-13 16:50:39.234164,8m,26m,12m,11m,24m,25m,81m,8m
P00035,2025-01-19 02:26:00,51m,39E,C10,BOD,ORY,2025-01-19 04:08:24.204700,2025-01-19 04:59:44.037787,4m,8m,18m,4m,27m,29m,23m,7m
P00036,2025-01-08 20:20:00,,15F,B28,LYS,MAD,2025-01-08 22:54:44.056407,2025-01-09 06:20:53.340785,IN (5m),,,,,,,
P00037,2025-01-16 00:43:00,401m,27B,F18,NCE,JFK,2025-01-16 02:42:15.026670,2025-01-16 09:22:46.468141,9m,33m,15m,5m,14m,19m,16m,8m
P00038,2025-01-08 11:46:00,319m,22A,C12,BOD,AMS,2025-01-08 14:23:11.470081,2025-01-08 19:41:54.795576,3m,18m,18m,24m,19m,47m,36m,9m
P00039,2025-01-14 09:17:00,,22F,H21,BOD,FCO,2025-01-14 11:31:31.553098,2025-01-14 19:01:07.252358,4m,12m,IN (12m),,,,,
P00040,2025-01-02 12:23:00,378m,18F,E21,ORY,DXB,2025-01-02 14:29:25.863819,2025-01-02 20:47:06.981142,5m,15m,18m,17m,35m,23m,34m,8m
P00041,2025-01-15 06:31:00,,40C,B30,CDG,ORY,2025-01-15 08:43:22.668676,2025-01-15 09:47:05.426849,11m,14m,18m,IN (1m),,,,
P00042,2025-01-26 02:31:00,115m,17C,D28,LYS,BOD,2025-01-26 04:04:33.969645,2025-01-26 05:59:50.474993,4m,12m,31m,2m,12m,19m,21m,11m
P00043,2025-01-06 03:22:00,,37A,C17,NCE,CDG,2025-01-06 05:17:03.771931,2025-01-06 06:07:18.944503,IN (6m),,,,,,,
P00044,2025-01-09 05:39:00,505m,25F,E14,ORY,FCO,2025-01-09 08:19:26.434409,2025-01-09 16:44:47.647016,5m,24m,27m,15m,32m,34m,38m,IN (6m)
P00045,2025-01-26 15:36:00,412m,36A,G19,ORY,DXB,2025-01-26 17:28:57.456303,2025-01-27 00:20:40.132938,7m,12m,25m,13m,13m,27m,58m,12m
P00046,2025-01-18 09:10:00,103m,29A,E30,LYS,ORY,2025-01-18 11:48:43.869144,2025-01-18 13:32:07.130188,9m,18m,14m,5m,34m,47m,23m,8m
P00047,2025-01-16 15:59:00,380m,40A,C5,NCE,FRA,2025-01-16 18:22:29.222875,2025-01-17 00:42:19.769983,6m,13m,22m,10m,15m,28m,31m,9m
P00048,2025-01-13 20:14:00,621m,14C,H10,BOD,FCO,2025-01-13 22:44:31.710690,2025-01-14 09:05:05.011540,7m,18m,21m,20m,8m,32m,21m,8m
P00049,2025-01-01 04:33:00,535m,40F,D20,LYS,DXB,2025-01-01 07:15:10.113143,2025-01-01 16:10:17.735613,7m,19m,26m,42m,29m,22m,28m,8m
P00050,2025-01-12 16:56:00,,2C,B10,CDG,BOD,2025-01-12 18:52:52.461523,2025-01-12 19:50:04.217670,IN (3m),,,,,,,
P00051,2025-01-29 14:50:00,451m,6B,A27,LYS,MAD,2025-01-29 16:31:42.899676,2025-01-30 00:03:10.421196,6m,17m,27m,8m,12m,17m,43m,7m
P00052,2025-01-13 11:58:00,119m,7A,A20,LYS,ORY,2025-01-13 13:57:43.945652,2025-01-13 15:56:43.746937,4m,13m,11m,4m,19m,22m,IN (10m),
P00053,2025-01-19 04:01:00,433m,10F,A15,NCE,JFK,2025-01-19 06:34:00.761469,2025-01-19 13:46:43.190607,12m,23m,38m,7m,20m,22m,28m,9m
P00054,2025-01-22 18:10:00,99m,8F,B2,LYS,BOD,2025-01-22 21:12:19.269628,2025-01-22 22:51:39.493707,15m,19m,35m,4m,26m,49m,28m,16m
P00055,2025-01-16 11:44:00,140m,33E,G22,NCE,LYS,2025-01-16 13:19:20.108748,2025-01-16 15:39:29.474002,6m,12m,11m,3m,26m,18m,16m,8m
P00056,2025-01-23 06:22:00,327m,12B,A1,NCE,DXB,2025-01-23 09:07:20.054726,2025-01-23 14:34:27.246444,10m,20m,22m,14m,25m,38m,24m,14m
P00057,2025-01-19 20:54:00,125m,28F,E14,LYS,BOD,2025-01-20 00:05:35.863257,2025-01-20 02:10:53.173786,6m,20m,27m,5m,39m,63m,43m,12m
P00058,2025-01-26 15:58:00,88m,17C,D11,BOD,NCE,2025-01-26 18:21:14.483247,2025-01-26 19:49:11.318683,8m,13m,24m,5m,18m,35m,12m,14m
P00059,2025-01-28 14:43:00,81m,6B,G30,CDG,LYS,2025-01-28 16:49:27.084535,2025-01-28 18:10:10.552082,7m,14m,25m,2m,17m,12m,18m,12m
P00060,2025-01-09 12:00:00,347m,39D,D7,CDG,LHR,2025-01-09 14:31:24.253202,2025-01-09 20:18:31.522042,8m,19m,14m,16m,23m,25m,20m,6m
P00061,2025-01-01 16:24:00,375m,20D,B26,BOD,DXB,2025-01-01 18:47:15.844877,2025-01-02 01:01:58.097113,7m,21m,23m,16m,20m,46m,47m,7m
P00062,2025-01-14 03:01:00,115m,25A,B4,BOD,LYS,2025-01-14 05:31:24.841437,2025-01-14 07:25:56.743666,3m,9m,21m,6m,50m,20m,19m,7m
P00063,2025-01-07 14:37:00,91m,8A,F21,LYS,ORY,2025-01-07 16:58:24.531471,2025-01-07 18:28:56.247339,6m,15m,20m,3m,28m,41m,24m,12m
P00064,2025-01-13 08:09:00,431m,28E,C25,NCE,DXB,2025-01-13 10:40:00.320270,2025-01-13 17:50:51.385774,12m,26m,41m,13m,15m,28m,35m,14m
P00065,2025-01-16 01:14:00,67m,31A,A21,ORY,CDG,2025-01-16 03:11:23.071316,2025-01-16 04:18:46.741532,11m,11m,18m,2m,14m,22m,29m,7m
P00066,2025-01-02 04:29:00,543m,13C,G1,LYS,LHR,2025-01-02 06:20:14.396262,2025-01-02 15:23:37.022524,4m,14m,21m,12m,14m,30m,25m,10m
P00067,2025-01-28 08:41:00,659m,35C,H19,CDG,MAD,2025-01-28 11:28:12.771709,2025-01-28 22:27:11.453614,6m,17m,14m,10m,16m,70m,29m,8m
P00068,2025-01-06 06:24:00,,14D,G2,LYS,NCE,2025-01-06 08:50:25.540498,2025-01-06 10:10:12.791048,IN (4m),,,,,,,
P00069,2025-01-15 18:30:00,,19D,A15,BOD,LHR,2025-01-15 20:48:34.673160,2025-01-16 03:37:57.760904,5m,32m,16m,IN (5m),,,,
P00070,2025-01-08 09:15:00,465m,28A,H4,ORY,DXB,2025-01-08 11:37:14.899742,2025-01-08 19:22:41.778984,4m,8m,15m,22m,22m,45m,43m,7m
P00071,2025-01-03 12:43:00,578m,40B,H12,BOD,DXB,2025-01-03 15:10:10.056111,2025-01-04 00:48:07.491643,7m,12m,20m,15m,24m,43m,20m,15m
P00072,2025-01-15 08:23:00,416m,31B,H14,BOD,DXB,2025-01-15 11:24:11.601009,2025-01-15 18:20:09.975805,14m,17m,31m,13m,21m,46m,72m,9m
P00073,2025-01-24 12:24:00,422m,34F,E8,NCE,DXB,2025-01-24 15:02:33.964854,2025-01-24 22:05:01.533741,8m,29m,35m,11m,23m,21m,24m,IN (11m)
P00074,2025-01-08 10:57:00,448m,32F,D19,ORY,LHR,2025-01-08 13:14:07.825646,2025-01-08 20:42:04.374048,12m,21m,21m,10m,16m,12m,38m,5m
P00075,2025-01-10 21:10:00,313m,16E,C30,BOD,FRA,2025-01-10 22:49:46.544719,2025-01-11 04:02:28.737072,6m,7m,15m,20m,8m,23m,39m,7m
P00076,2025-01-02 00:36:00,407m,28D,E2,BOD,LHR,2025-01-02 02:14:39.912357,2025-01-02 09:01:51.861599,6m,9m,20m,16m,20m,14m,35m,4m
P00077,2025-01-05 05:00:00,748m,24D,H24,BOD,JFK,2025-01-05 07:19:35.419079,2025-01-05 19:47:49.461482,7m,16m,31m,19m,21m,23m,42m,8m
P00078,2025-01-10 20:35:00,272m,3A,H9,NCE,MAD,2025-01-10 23:08:19.394202,2025-01-11 03:40:38.179030,7m,18m,23m,15m,22m,46m,51m,9m
P00079,2025-01-26 14:51:00,116m,6F,F20,BOD,ORY,2025-01-26 17:01:59.481725,2025-01-26 18:57:37.517924,4m,14m,26m,6m,23m,31m,31m,3m
P00080,2025-01-06 08:39:00,,32E,F24,CDG,ORY,2025-01-06 11:16:49.255547,2025-01-06 12:33:15.176544,12m,12m,29m,3m,IN (12m),,,
P00081,2025-01-05 04:21:00,733m,22D,C28,CDG,FRA,2025-01-05 07:02:41.809314,2025-01-05 19:16:00.610913,6m,40m,13m,21m,35m,21m,45m,13m
P00082,2025-01-19 09:21:00,279m,7E,C17,CDG,FRA,2025-01-19 12:16:30.746778,2025-01-19 16:55:33.711985,13m,31m,39m,17m,21m,28m,46m,12m
P00083,2025-01-16 10:33:00,477m,24B,H24,BOD,JFK,2025-01-16 13:03:32.895138,2025-01-16 21:00:38.985621,7m,36m,33m,11m,15m,22m,27m,7m
P00084,2025-01-07 16:58:00,56m,32E,C24,NCE,BOD,2025-01-07 18:29:34.654450,2025-01-07 19:25:34.287704,4m,13m,26m,4m,11m,15m,9m,8m
P00085,2025-01-07 19:41:00,100m,39E,E16,NCE,LYS,2025-01-07 22:15:28.141085,2025-01-07 23:55:06.407105,10m,22m,30m,7m,37m,28m,16m,13m
P00086,2025-01-05 15:34:00,456m,17C,F20,LYS,MAD,2025-01-05 17:49:12.337661,2025-01-06 01:25:21.488051,5m,23m,15m,11m,17m,45m,29m,11m
P00087,2025-01-06 06:03:00,40m,13F,A4,ORY,LYS,2025-01-06 08:10:34.416897,2025-01-06 08:50:48.203968,7m,11m,35m,4m,11m,18m,19m,8m
P00088,2025-01-12 15:39:00,333m,20C,D25,CDG,FRA,2025-01-12 18:01:09.759459,2025-01-12 23:34:00.691586,10m,12m,45m,10m,28m,16m,54m,8m
P00089,2025-01-25 13:22:00,350m,23D,D14,NCE,FCO,2025-01-25 15:06:56.772569,2025-01-25 20:57:00.320514,4m,14m,18m,12m,13m,23m,42m,12m
P00090,2025-01-09 06:38:00,419m,39B,G16,NCE,FCO,2025-01-09 08:41:31.749949,2025-01-09 15:40:10.367405,7m,24m,13m,14m,21m,33m,20m,6m
P00091,2025-01-27 00:55:00,56m,33E,H6,ORY,NCE,2025-01-27 02:54:12.442728,2025-01-27 03:50:26.525419,3m,5m,27m,3m,16m,15m,17m,6m
P00092,2025-01-03 05:24:00,76m,4E,B30,BOD,CDG,2025-01-03 07:23:18.138652,2025-01-03 08:39:03.897807,10m,8m,19m,7m,25m,29m,17m,10m
P00093,2025-01-01 20:46:00,234m,34D,H14,LYS,JFK,2025-01-02 00:03:14.204199,2025-01-02 03:56:58.195412,9m,20m,32m,22m,25m,45m,60m,11m
P00094,2025-01-12 11:52:00,494m,7F,B1,NCE,FRA,2025-01-12 13:40:57.997798,2025-01-12 21:54:52.594827,8m,15m,17m,7m,21m,10m,16m,8m
P00095,2025-01-25 17:19:00,IN (247m),30B,G12,BOD,FCO,2025-01-25 21:04:33.754345,2025-01-26 02:23:34.323195,5m,26m,15m,22m,28m,81m,,
P00096,2025-01-03 06:18:00,289m,40C,E25,LYS,DXB,2025-01-03 08:53:50.724967,2025-01-03 13:42:27.516573,7m,12m,38m,18m,20m,31m,IN (20m),
P00097,2025-01-23 00:45:00,272m,3C,D10,BOD,JFK,2025-01-23 03:19:01.346490,2025-01-23 07:51:01.738113,4m,13m,13m,14m,16m,57m,30m,5m
P00098,2025-01-23 20:25:00,83m,3D,D25,LYS,ORY,2025-01-23 22:13:19.774380,2025-01-23 23:35:54.120005,8m,14m,13m,7m,26m,25m,21m,9m
P00099,2025-01-06 02:42:00,,3A,A15,ORY,CDG,2025-01-06 04:27:34.520744,2025-01-06 05:23:21.710898,5m,IN (4m),,,,,,
P00100,2025-01-13 03:26:00,68m,14F,G12,NCE,LYS,2025-01-13 05:08:30.039528,2025-01-13 06:16:23.623499,5m,13m,16m,5m,14m,19m,14m,11m
P00101,2025-01-21 03:28:00,848m,25E,B3,NCE,FCO,2025-01-21 05:17:59.297688,2025-01-21 19:25:47.409337,4m,11m,18m,7m,24m,17m,23m,8m
P00102,2025-01-22 20:25:00,IN (200m),25F,H21,BOD,LHR,2025-01-22 23:08:24.202428,2025-01-23 03:50:30.030507,9m,9m,19m,21m,40m,51m,,
P00103,2025-01-17 16:09:00,90m,7A,B22,NCE,CDG,2025-01-17 18:03:51.646624,2025-01-17 19:33:59.621536,6m,14m,17m,3m,19m,12m,17m,8m
P00104,2025-01-29 15:59:00,94m,26D,C1,ORY,BOD,2025-01-29 18:17:47.990591,2025-01-29 19:51:47.265646,9m,15m,19m,2m,26m,40m,14m,11m
P00105,2025-01-28 19:56:00,421m,13D,H21,LYS,DXB,2025-01-28 22:34:11.679966,2025-01-29 05:35:20.983825,8m,24m,25m,27m,19m,28m,52m,6m
P00106,2025-01-17 21:39:00,,5B,A6,LYS,ORY,2025-01-17 23:49:31.812056,2025-01-18 01:17:47.856102,6m,15m,24m,3m,18m,IN (9m),,
P00107,2025-01-27 12:05:00,660m,28A,H7,CDG,FRA,2025-01-27 13:43:53.066740,2025-01-28 00:44:02.710981,5m,14m,14m,9m,11m,35m,49m,5m
P00108,2025-01-11 00:29:00,363m,25D,E11,ORY,JFK,2025-01-11 02:07:49.324702,2025-01-11 08:10:59.201850,7m,22m,14m,8m,9m,22m,16m,9m
P00109,2025-01-24 09:38:00,482m,13F,H14,ORY,FRA,2025-01-24 12:08:06.227029,2025-01-24 20:10:14.189515,7m,20m,20m,16m,17m,35m,12m,14m
P00110,2025-01-16 03:26:00,273m,30B,F21,NCE,DXB,2025-01-16 05:53:10.268111,2025-01-16 10:26:26.535506,6m,11m,18m,9m,28m,35m,27m,6m
P00111,2025-01-26 14:28:00,64m,24D,G25,ORY,NCE,2025-01-26 16:03:28.944532,2025-01-26 17:07:13.109735,6m,8m,9m,3m,10m,19m,13m,16m
P00112,2025-01-01 18:37:00,474m,18E,C17,NCE,LHR,2025-01-01 20:53:00.097746,2025-01-02 04:47:09.224375,6m,22m,20m,14m,22m,25m,39m,10m
P00113,2025-01-29 05:58:00,423m,13C,A8,ORY,JFK,2025-01-29 08:05:11.367103,2025-01-29 15:08:27.725528,3m,18m,36m,15m,21m,22m,27m,6m
P00114,2025-01-26 09:18:00,71m,38B,A24,NCE,ORY,2025-01-26 12:32:15.491032,2025-01-26 13:43:42.666740,10m,21m,34m,6m,24m,84m,22m,14m
P00115,2025-01-01 04:14:00,68m,21B,D19,CDG,ORY,2025-01-01 06:11:56.680070,2025-01-01 07:19:46.264501,10m,14m,18m,6m,18m,22m,20m,8m
P00116,2025-01-27 11:08:00,505m,12C,B10,NCE,MAD,2025-01-27 13:31:19.053351,2025-01-27 21:56:16.187553,5m,26m,17m,15m,17m,26m,24m,12m
P00117,2025-01-26 08:51:00,107m,27C,F23,ORY,BOD,2025-01-26 11:26:34.032099,2025-01-26 13:13:27.199694,10m,19m,27m,4m,33m,21m,64m,12m
P00118,2025-01-05 15:39:00,,14D,F15,LYS,AMS,2025-01-05 18:00:16.879169,2025-01-06 00:25:50.934111,6m,IN (6m),,,,,,
P00119,2025-01-28 08:22:00,359m,14B,H26,LYS,JFK,2025-01-28 11:25:48.968463,2025-01-28 17:24:40.272404,5m,23m,38m,21m,24m,28m,44m,11m
P00120,2025-01-03 02:45:00,370m,3F,G14,NCE,AMS,2025-01-03 04:20:33.294056,2025-01-03 10:30:05.258761,9m,15m,9m,8m,21m,19m,39m,5m
P00121,2025-01-26 01:00:00,427m,16F,D22,NCE,JFK,2025-01-26 03:16:52.469026,2025-01-26 10:24:02.424652,7m,19m,29m,16m,21m,21m,31m,9m
P00122,2025-01-13 10:40:00,410m,1E,C2,BOD,FCO,2025-01-13 13:11:58.436398,2025-01-13 20:02:07.201068,5m,15m,22m,17m,22m,40m,26m,21m
P00123,2025-01-11 13:11:00,498m,21B,A3,CDG,DXB,2025-01-11 15:11:58.635811,2025-01-11 23:29:29.542226,5m,13m,25m,17m,25m,22m,25m,8m
P00124,2025-01-08 06:58:00,,37A,D26,BOD,LYS,2025-01-08 09:22:51.442676,2025-01-08 10:21:52.640326,5m,IN (6m),,,,,,
P00125,2025-01-20 12:58:00,327m,36E,A23,NCE,JFK,2025-01-20 15:12:21.182372,2025-01-20 20:39:31.158097,6m,14m,40m,15m,24m,18m,28m,9m
P00126,2025-01-10 08:35:00,97m,31A,F17,ORY,BOD,2025-01-10 10:45:55.652300,2025-01-10 12:23:24.322313,12m,15m,23m,6m,32m,29m,35m,17m
P00127,2025-01-12 15:31:00,92m,34F,E2,NCE,CDG,2025-01-12 17:28:10.142744,2025-01-12 19:00:38.136687,5m,14m,17m,3m,23m,29m,43m,10m
P00128,2025-01-22 15:30:00,69m,36E,F17,ORY,NCE,2025-01-22 17:10:23.796519,2025-01-22 18:18:54.056420,5m,17m,14m,2m,24m,28m,10m,6m
P00129,2025-01-23 06:56:00,83m,35C,D24,NCE,LYS,2025-01-23 08:52:38.544738,2025-01-23 10:15:27.289277,8m,15m,34m,6m,10m,22m,IN (15m),
P00130,2025-01-15 18:33:00,421m,30A,A17,CDG,FCO,2025-01-15 21:22:34.485040,2025-01-16 04:23:58.765891,3m,13m,50m,13m,12m,51m,54m,12m
P00131,2025-01-25 08:10:00,389m,7E,F7,LYS,FRA,2025-01-25 11:40:01.658697,2025-01-25 18:09:05.057378,8m,38m,43m,46m,23m,33m,37m,9m
P00132,2025-01-03 06:19:00,391m,36F,D28,NCE,MAD,2025-01-03 09:30:08.143897,2025-01-03 16:00:55.849077,11m,23m,42m,16m,30m,38m,43m,23m
P00133,2025-01-21 06:46:00,71m,6E,G28,NCE,LYS,2025-01-21 09:02:07.016744,2025-01-21 10:12:51.969589,9m,25m,21m,3m,30m,36m,27m,31m
P00134,2025-01-27 18:41:00,93m,23A,G2,LYS,BOD,2025-01-27 21:33:08.333942,2025-01-27 23:06:35.336348,6m,16m,22m,9m,34m,43m,25m,12m
P00135,2025-01-23 06:36:00,97m,28F,E9,BOD,NCE,2025-01-23 09:35:51.579447,2025-01-23 11:13:18.077676,9m,37m,42m,7m,21m,23m,15m,IN (6m)
P00136,2025-01-04 01:35:00,556m,31A,G24,CDG,AMS,2025-01-04 03:41:24.635638,2025-01-04 12:57:33.312856,4m,16m,29m,11m,13m,37m,32m,5m
P00137,2025-01-25 07:29:00,278m,20C,E18,LYS,MAD,2025-01-25 10:23:24.650029,2025-01-25 15:01:37.323682,10m,19m,38m,18m,20m,25m,42m,10m
P00138,2025-01-12 13:03:00,72m,34C,A4,CDG,NCE,2025-01-12 15:01:44.860141,2025-01-12 16:13:29.456601,5m,15m,9m,2m,18m,44m,19m,12m
P00139,2025-01-18 21:41:00,427m,2E,A26,ORY,FCO,2025-01-18 23:44:41.376853,2025-01-19 06:52:06.983707,6m,13m,16m,15m,30m,26m,38m,6m
P00140,2025-01-06 00:49:00,265m,34E,G6,NCE,AMS,2025-01-06 03:05:09.035639,2025-01-06 07:30:07.903119,7m,12m,17m,12m,26m,20m,14m,5m
P00141,2025-01-09 20:07:00,424m,16D,B22,LYS,FCO,2025-01-09 22:49:52.660988,2025-01-10 05:53:43.540983,8m,19m,23m,18m,32m,25m,19m,IN (8m)
P00142,2025-01-18 03:13:00,105m,13D,A3,ORY,BOD,2025-01-18 05:52:37.783838,2025-01-18 07:37:42.392515,11m,14m,31m,4m,29m,22m,46m,9m
P00143,2025-01-30 00:37:00,84m,2E,C2,ORY,NCE,2025-01-30 03:13:07.922749,2025-01-30 04:37:34.508085,11m,15m,29m,4m,16m,49m,26m,9m
P00144,2025-01-19 08:11:00,70m,33F,E29,LYS,ORY,2025-01-19 11:24:23.176704,2025-01-19 12:34:14.934082,4m,33m,35m,5m,23m,51m,38m,14m
P00145,2025-01-26 02:48:00,74m,4C,F26,BOD,NCE,2025-01-26 05:01:14.018684,2025-01-26 06:15:13.968572,8m,16m,20m,6m,21m,24m,42m,5m
P00146,2025-01-13 20:16:00,640m,4B,D29,BOD,LHR,2025-01-13 23:14:49.471917,2025-01-14 09:54:25.764599,9m,29m,36m,15m,21m,43m,45m,6m
P00147,2025-01-02 06:24:00,102m,20E,H29,NCE,LYS,2025-01-02 08:57:40.562277,2025-01-02 10:39:34.772575,9m,12m,18m,8m,39m,23m,23m,12m
P00148,2025-01-27 07:31:00,260m,7F,G12,NCE,FCO,2025-01-27 10:54:12.060127,2025-01-27 15:14:29.669144,11m,31m,17m,14m,44m,42m,61m,10m
P00149,2025-01-17 05:28:00,419m,36D,E16,CDG,LHR,2025-01-17 07:19:59.600770,2025-01-17 14:19:11.971868,3m,19m,14m,9m,9m,18m,35m,5m
P00150,2025-01-03 12:51:00,80m,27B,B7,BOD,NCE,2025-01-03 14:31:35.069662,2025-01-03 15:51:41.461346,11m,10m,22m,5m,15m,27m,30m,14m
P00151,2025-01-26 15:10:00,261m,33D,A6,NCE,LHR,2025-01-26 18:13:21.888400,2025-01-26 22:34:41.956681,7m,35m,20m,16m,54m,21m,54m,7m
P00152,2025-01-22 09:20:00,418m,11C,E3,LYS,LHR,2025-01-22 11:26:10.105844,2025-01-22 18:24:05.036711,7m,12m,21m,15m,20m,28m,27m,13m
P00153,2025-01-24 04:03:00,271m,24F,C2,CDG,LHR,2025-01-24 06:24:35.009880,2025-01-24 10:55:19.029446,10m,15m,29m,10m,12m,27m,27m,13m
