passenger_id,airport,flight_type,entry_time,current_step,time_spent_current_step,active_users_in_step,avg_step_duration,target_time_remaining,event_observed
P00080,LHR,international,2025-01-04T11:29,3,11.84,44,21.86,12.66,1
P00081,NCE,domestic,2025-01-05T07:04,7,152.82,99,102.73,10.78,1
P00082,ORY,domestic,2025-01-23T10:12,7,11.87,85,62.84,47.86,1
P00083,MAD,international,2025-01-23T07:06,3,5.61,61,25.56,18.15,1
P00084,MAD,international,2025-01-12T04:16,2,6.14,26,20.19,16.54,1
P00085,NCE,domestic,2025-01-22T05:57,2,8.78,17,10.66,2.93,1
P00086,ORY,domestic,2025-01-08T08:40,1,11.24,27,9.38,1.14,1
P00087,ORY,domestic,2025-01-12T02:51,3,13.65,51,22.52,19.61,1
P00088,FCO,international,2025-01-28T19:53,3,31.2,54,24.2,9.59,1
P00089,NCE,domestic,2025-01-16T10:30,1,0.51,17,5.59,4.31,1
P00090,FCO,international,2025-01-20T03:40,3,18.37,50,19.19,10.15,1
P00091,FCO,international,2025-01-03T16:16,1,5.14,24,8.35,1.95,1
P00092,BOD,domestic,2025-01-26T17:08,6,27.38,39,29.45,11.86,1
P00093,JFK,international,2025-01-21T09:47,1,7.52,29,8.13,4.23,1
P00094,MAD,international,2025-01-14T22:33,2,4.47,12,9.64,10.54,1
P00095,LHR,international,2025-01-24T22:52,2,22.56,24,14.31,1.74,1
P00096,FCO,international,2025-01-19T04:14,7,309.21,74,475.62,320.75,1
P00097,FCO,international,2025-01-10T20:14,6,16.74,39,33.99,17.95,1
P00098,FRA,international,2025-01-30T11:04,3,15.34,41,29.81,3.26,1
P00099,AMS,international,2025-01-08T03:19,1,0.81,18,6.96,2.82,1
P00100,MAD,international,2025-01-24T11:25,5,1.9,31,17.49,7.2,1
P00101,CDG,domestic,2025-01-01T23:48,4,5.1,24,5.0,0.5,1
P00102,BOD,domestic,2025-01-30T18:18,6,8.62,39,26.55,11.66,1
P00103,LHR,international,2025-01-09T03:27,1,0.87,29,6.44,3.61,0
P00104,DXB,international,2025-01-27T17:55,2,6.7,14,25.37,1.77,1
P00105,NCE,domestic,2025-01-18T06:10,4,4.17,35,6.05,6.77,1
P00106,LYS,domestic,2025-01-23T08:05,2,16.45,23,21.8,0.54,0
P00107,JFK,international,2025-01-29T20:56,2,12.47,27,17.88,5.06,1
P00108,CDG,domestic,2025-01-06T12:43,5,6.23,31,16.46,8.37,1
P00109,ORY,domestic,2025-01-04T12:31,4,0.5,25,4.0,4.8,1
P00110,JFK,international,2025-01-10T02:16,4,3.87,24,9.51,12.0,1
P00111,ORY,domestic,2025-01-13T04:58,2,3.1,16,14.21,6.07,1
P00112,LYS,domestic,2025-01-13T10:02,7,3.83,86,97.65,8.04,0
P00113,ORY,domestic,2025-01-21T12:37,1,7.56,26,3.96,0.81,1
P00114,BOD,domestic,2025-01-30T22:57,3,5.78,45,23.61,11.26,1
P00115,JFK,international,2025-01-21T09:48,5,4.48,44,24.4,6.66,1
P00116,LHR,international,2025-01-13T08:24,3,3.53,46,26.29,11.18,0
P00117,LHR,international,2025-01-16T06:10,8,4.54,48,36.99,42.14,1
P00118,CDG,domestic,2025-01-25T14:47,5,13.43,39,21.42,5.25,1
P00119,MAD,international,2025-01-29T07:56,3,5.55,46,26.93,22.97,1
P00120,BOD,domestic,2025-01-27T13:54,1,4.75,25,5.87,3.76,1
P00121,MAD,international,2025-01-04T02:50,7,500.45,96,426.33,51.87,0
P00122,BOD,domestic,2025-01-24T02:43,5,14.04,29,14.78,12.95,1
P00123,LYS,domestic,2025-01-16T22:44,6,22.05,33,31.35,12.59,1
P00124,LHR,international,2025-01-13T04:54,9,8.33,29,12.32,3.83,1
P00125,FCO,international,2025-01-01T20:01,4,4.98,41,13.34,7.24,1
P00126,NCE,domestic,2025-01-05T12:19,9,11.01,18,10.88,5.01,1
P00127,FCO,international,2025-01-12T13:02,9,1.59,22,8.75,1.86,1
P00128,DXB,international,2025-01-27T13:38,3,2.79,38,14.28,31.38,1
P00129,LHR,international,2025-01-02T05:40,2,6.84,19,14.14,5.34,1
P00130,FRA,international,2025-01-02T20:42,7,131.38,132,553.39,867.53,1
P00131,JFK,international,2025-01-04T12:58,3,6.84,38,16.09,8.66,1
P00132,LHR,international,2025-01-06T12:44,4,1.73,17,12.27,1.82,1
P00133,CDG,domestic,2025-01-18T23:33,7,58.13,82,132.77,15.45,1
P00134,FRA,international,2025-01-15T18:29,3,34.57,59,19.88,3.23,1
P00135,LHR,international,2025-01-15T11:01,6,26.23,26,20.35,16.48,1
P00136,ORY,domestic,2025-01-07T19:15,2,16.44,18,11.81,3.03,1
P00137,BOD,domestic,2025-01-25T03:32,3,10.55,49,15.6,3.36,0
P00138,DXB,international,2025-01-09T10:32,2,9.51,23,18.17,10.69,1
P00139,CDG,domestic,2025-01-11T03:08,3,6.25,40,12.91,2.23,1
P00140,FRA,international,2025-01-14T11:18,7,162.26,79,440.08,100.62,0
P00141,FRA,international,2025-01-23T13:15,1,7.09,30,6.78,1.63,1
P00142,NCE,domestic,2025-01-26T17:58,5,6.57,40,21.61,5.34,1
P00143,CDG,domestic,2025-01-23T09:40,5,22.52,33,16.85,6.32,1
P00144,LYS,domestic,2025-01-26T10:05,2,5.58,16,9.3,7.19,1
P00145,LHR,international,2025-01-21T00:06,9,7.7,19,5.79,7.19,1
P00146,LYS,domestic,2025-01-18T05:40,2,6.03,18,17.44,1.27,1
P00147,ORY,domestic,2025-01-30T17:30,1,1.01,40,7.85,3.66,1
P00148,NCE,domestic,2025-01-23T02:50,1,1.77,26,7.18,5.25,1
P00149,FRA,international,2025-01-12T22:01,7,502.63,107,551.12,102.45,1
P00150,FCO,international,2025-01-26T03:48,6,16.85,40,36.45,15.27,1
P00151,NCE,domestic,2025-01-30T05:43,4,3.09,28,4.17,0.98,1
P00152,LYS,domestic,2025-01-16T19:07,6,31.78,35,34.07,4.49,1
P00153,FRA,international,2025-01-07T02:15,7,128.12,76,310.92,196.64,1
P00154,FRA,international,2025-01-13T05:38,5,3.97,33,20.34,12.03,1
P00155,DXB,international,2025-01-25T20:45,3,17.22,52,26.8,6.54,1
P00156,LYS,domestic,2025-01-01T19:10,2,6.69,23,13.92,3.02,1
P00157,NCE,domestic,2025-01-02T15:22,7,17.52,91,86.12,9.9,0
P00158,LYS,domestic,2025-01-07T06:58,1,4.81,29,6.71,0.5,0
P00159,NCE,domestic,2025-01-13T21:10,4,1.04,24,3.27,1.84,1
P00160,LYS,domestic,2025-01-20T18:07,7,96.09,81,79.08,9.52,0
P00161,FCO,international,2025-01-04T07:04,2,27.44,29,20.37,18.35,1
P00162,CDG,domestic,2025-01-18T14:37,3,3.01,38,17.88,9.02,1
P00163,FCO,international,2025-01-02T18:15,4,9.07,34,16.66,9.34,1
P00164,JFK,international,2025-01-15T16:02,8,43.95,25,29.49,4.03,1
P00165,BOD,domestic,2025-01-20T10:22,6,4.03,31,22.91,17.33,1
P00166,BOD,domestic,2025-01-24T07:23,6,16.01,28,27.36,16.0,1
P00167,DXB,international,2025-01-20T13:58,9,6.94,21,10.7,1.48,1
P00168,JFK,international,2025-01-30T22:31,9,5.88,19,8.52,1.77,1
P00169,BOD,domestic,2025-01-18T15:16,6,3.32,30,25.69,16.86,1
P00170,LHR,international,2025-01-13T23:37,1,3.65,20,8.4,2.05,1
P00171,BOD,domestic,2025-01-21T10:37,6,5.74,24,22.86,21.5,1
P00172,AMS,international,2025-01-03T03:22,5,2.68,27,23.1,5.69,1
P00173,BOD,domestic,2025-01-15T17:04,3,11.25,40,18.31,3.77,1
P00174,LYS,domestic,2025-01-01T16:40,1,1.3,35,5.89,1.36,0
P00175,LYS,domestic,2025-01-22T23:17,9,8.46,20,7.81,1.92,1
P00176,AMS,international,2025-01-28T15:54,1,1.67,25,5.37,1.84,1
P00177,FRA,international,2025-01-22T11:08,6,17.86,23,15.57,27.89,1
P00178,ORY,domestic,2025-01-29T13:00,1,0.5,20,4.95,3.42,1
P00179,NCE,domestic,2025-01-22T12:28,3,2.24,29,14.05,12.27,1
P00180,CDG,domestic,2025-01-26T03:11,2,4.67,18,8.98,6.37,1
P00181,JFK,international,2025-01-13T00:19,3,6.32,38,15.44,9.88,1
P00182,DXB,international,2025-01-08T02:19,8,30.94,28,29.99,11.02,1
P00183,ORY,domestic,2025-01-24T08:04,1,3.75,28,7.05,7.24,1
P00184,LHR,international,2025-01-30T18:55,1,5.56,33,6.82,5.52,1
P00185,BOD,domestic,2025-01-04T06:42,3,8.75,51,21.7,31.42,1
P00186,LYS,domestic,2025-01-26T11:05,5,10.67,37,23.13,18.64,1
P00187,CDG,domestic,2025-01-08T05:07,3,1.89,34,17.31,9.81,1
P00188,FRA,international,2025-01-28T05:25,6,4.94,28,29.88,8.88,1
P00189,CDG,domestic,2025-01-11T00:20,2,1.95,16,12.75,5.37,1
P00190,BOD,domestic,2025-01-28T10:02,3,1.43,37,14.71,18.21,1
P00191,CDG,domestic,2025-01-01T18:34,7,103.78,120,137.6,36.43,1
P00192,DXB,international,2025-01-23T10:41,1,6.68,30,6.89,2.31,1
P00193,MAD,international,2025-01-30T09:56,3,13.36,61,28.38,17.53,1
P00194,LHR,international,2025-01-02T17:46,3,4.64,48,25.63,20.22,1
P00195,CDG,domestic,2025-01-21T23:16,9,3.41,13,6.49,1.83,0
P00196,CDG,domestic,2025-01-24T06:14,5,10.68,57,25.85,10.22,1
P00197,BOD,domestic,2025-01-04T14:06,3,12.35,42,24.35,0.65,1
P00198,ORY,domestic,2025-01-22T21:33,8,4.89,22,18.75,8.34,1
P00199,ORY,domestic,2025-01-18T00:55,3,8.67,36,30.16,0.91,1
P00200,LHR,international,2025-01-20T20:51,3,4.33,41,22.16,11.18,1
P00201,AMS,international,2025-01-08T08:17,6,39.82,44,31.17,3.48,1
P00202,AMS,international,2025-01-17T23:46,9,11.24,24,10.1,4.98,0
P00203,LHR,international,2025-01-18T20:13,1,10.12,29,13.37,2.16,1
P00204,LYS,domestic,2025-01-27T07:25,1,1.66,35,9.03,5.55,1
P00205,AMS,international,2025-01-19T07:10,6,24.13,38,42.93,10.02,1
P00206,NCE,domestic,2025-01-02T02:13,4,5.4,21,4.49,0.89,1
P00207,NCE,domestic,2025-01-05T06:53,6,1.94,30,26.26,7.65,0
P00208,JFK,international,2025-01-06T10:05,5,5.17,43,23.1,24.42,1
P00209,NCE,domestic,2025-01-20T01:39,1,3.89,19,5.96,1.19,0
P00210,MAD,international,2025-01-06T13:03,2,13.71,22,20.31,4.19,1
P00211,ORY,domestic,2025-01-03T21:16,5,7.86,31,17.63,12.82,1
P00212,BOD,domestic,2025-01-20T20:45,1,1.89,21,6.13,9.21,1
P00213,NCE,domestic,2025-01-04T01:08,9,1.64,21,11.04,12.65,1
P00214,FCO,international,2025-01-23T04:43,2,15.15,21,15.58,12.41,1
P00215,MAD,international,2025-01-23T07:08,8,11.24,30,36.46,15.19,1
P00216,CDG,domestic,2025-01-10T03:17,8,11.02,16,16.56,2.58,0
P00217,CDG,domestic,2025-01-08T18:10,6,15.11,36,27.17,7.19,1
P00218,FCO,international,2025-01-25T09:07,2,10.43,20,21.46,11.16,1
P00219,FRA,international,2025-01-11T15:46,5,1.97,44,16.48,11.99,1
P00220,FRA,international,2025-01-22T09:34,2,16.11,19,12.19,11.47,1
P00221,NCE,domestic,2025-01-12T12:28,1,4.04,23,8.17,6.43,1
P00222,DXB,international,2025-01-12T00:53,3,2.2,41,21.02,12.5,1
P00223,FRA,international,2025-01-28T21:12,4,8.8,29,11.73,6.85,0
P00224,FCO,international,2025-01-16T14:22,8,13.09,19,20.83,14.98,1
P00225,CDG,domestic,2025-01-11T03:29,4,1.93,30,4.41,1.53,1
P00226,MAD,international,2025-01-07T01:11,6,7.51,35,26.54,4.5,1
P00227,NCE,domestic,2025-01-25T12:14,3,20.27,44,34.2,1.69,1
P00228,FRA,international,2025-01-16T02:37,8,3.18,30,28.76,40.64,1
P00229,NCE,domestic,2025-01-21T14:29,1,7.03,34,4.84,0.5,0
P00230,AMS,international,2025-01-12T06:16,7,32.89,106,509.31,243.35,1
P00231,ORY,domestic,2025-01-07T10:49,6,3.82,21,28.69,19.76,1
P00232,FCO,international,2025-01-13T13:38,3,19.44,34,13.93,4.41,0
P00233,FCO,international,2025-01-10T21:16,4,5.26,24,13.51,5.37,1
P00234,BOD,domestic,2025-01-25T08:17,2,12.52,30,16.08,12.67,1
P00235,LYS,domestic,2025-01-19T05:01,2,7.79,26,12.04,5.94,1
P00236,FCO,international,2025-01-25T01:36,3,5.59,48,20.86,6.63,1
P00237,AMS,international,2025-01-10T20:10,3,14.81,56,32.26,4.29,1
P00238,JFK,international,2025-01-12T13:36,3,7.15,42,16.34,7.13,1
P00239,NCE,domestic,2025-01-18T20:29,5,11.12,48,24.17,30.87,1
P00240,MAD,international,2025-01-05T01:27,9,3.84,25,8.94,5.67,1
P00241,CDG,domestic,2025-01-17T17:01,7,57.9,105,146.32,34.22,1
P00242,LYS,domestic,2025-01-15T23:04,4,2.34,19,3.56,1.91,1
P00243,MAD,international,2025-01-08T17:46,1,0.5,27,9.33,7.1,1
P00244,LYS,domestic,2025-01-24T19:11,4,0.92,36,4.9,5.97,1
P00245,DXB,international,2025-01-06T04:57,4,13.82,28,13.0,5.88,1
P00246,LHR,international,2025-01-06T13:36,5,8.33,36,9.98,8.67,0
P00247,NCE,domestic,2025-01-09T03:52,7,30.29,78,104.05,51.74,1
P00248,ORY,domestic,2025-01-24T18:53,5,8.34,62,35.87,4.06,1
P00249,JFK,international,2025-01-22T01:48,9,5.23,23,11.66,3.29,1
P00250,ORY,domestic,2025-01-23T14:34,2,4.45,25,14.04,16.2,1
P00251,JFK,international,2025-01-14T00:40,2,9.48,19,15.13,1.28,1
P00252,AMS,international,2025-01-17T12:31,2,18.42,21,28.89,4.79,1
P00253,LYS,domestic,2025-01-19T01:05,3,7.92,38,16.22,25.3,1
P00254,DXB,international,2025-01-24T07:29,3,11.67,49,23.54,6.43,1
P00255,LHR,international,2025-01-07T07:37,3,21.07,56,28.48,17.15,1
P00256,LYS,domestic,2025-01-04T10:23,1,2.23,20,7.32,3.19,1
P00257,JFK,international,2025-01-10T07:53,2,3.96,18,22.6,22.88,1
P00258,BOD,domestic,2025-01-17T02:59,8,11.57,30,16.36,18.01,1
P00259,ORY,domestic,2025-01-16T12:48,3,25.8,43,13.25,4.56,0
P00260,AMS,international,2025-01-21T06:07,5,11.2,65,20.45,7.95,1
P00261,AMS,international,2025-01-23T07:43,2,2.06,19,24.14,6.17,1
P00262,DXB,international,2025-01-03T12:55,8,23.68,25,27.47,4.43,0
P00263,AMS,international,2025-01-10T05:57,6,9.19,25,19.3,6.57,1
P00264,LYS,domestic,2025-01-28T23:49,3,15.71,42,25.4,1.99,1
P00265,LYS,domestic,2025-01-19T21:00,2,3.14,24,11.83,25.51,1
P00266,DXB,international,2025-01-19T14:30,6,24.41,26,27.37,19.44,1
P00267,NCE,domestic,2025-01-15T05:52,1,0.64,31,8.0,1.63,0
P00268,NCE,domestic,2025-01-23T12:40,5,4.24,43,16.06,8.09,1
P00269,BOD,domestic,2025-01-06T07:32,2,4.07,22,22.99,6.37,1
P00270,AMS,international,2025-01-05T03:05,5,19.56,44,17.82,11.89,1
P00271,AMS,international,2025-01-10T15:25,2,18.67,18,16.57,10.8,1
P00272,LYS,domestic,2025-01-28T20:15,2,5.81,24,13.08,15.71,1
P00273,CDG,domestic,2025-01-05T17:33,1,8.38,35,11.22,3.57,1
P00274,NCE,domestic,2025-01-14T18:33,2,11.66,22,22.03,3.83,1
P00275,BOD,domestic,2025-01-24T22:03,8,4.39,20,17.73,2.46,0
P00276,LYS,domestic,2025-01-27T05:18,8,11.64,25,15.56,6.04,1
P00277,CDG,domestic,2025-01-18T15:45,5,4.43,33,24.45,10.67,1
P00278,LYS,domestic,2025-01-14T01:29,2,7.24,23,10.45,3.56,1
P00279,LHR,international,2025-01-09T17:18,7,184.28,112,388.67,289.59,1
P00280,AMS,international,2025-01-23T01:37,7,229.47,66,409.57,160.34,1
P00281,DXB,international,2025-01-26T01:21,3,2.48,44,17.06,11.42,1
P00282,CDG,domestic,2025-01-28T12:58,5,10.56,36,20.09,4.75,1
P00283,DXB,international,2025-01-19T22:29,4,1.66,17,10.8,11.9,1
P00284,CDG,domestic,2025-01-08T14:35,4,1.64,27,4.12,2.47,1
P00285,ORY,domestic,2025-01-26T10:00,1,1.48,28,11.59,2.55,1
P00286,CDG,domestic,2025-01-01T14:39,2,10.53,12,9.69,2.96,1
P00287,NCE,domestic,2025-01-14T04:40,4,5.64,31,4.3,1.93,0
P00288,NCE,domestic,2025-01-20T17:12,7,23.22,92,110.51,23.33,0
P00289,FCO,international,2025-01-13T06:30,1,1.45,19,6.97,2.98,1
P00290,JFK,international,2025-01-15T00:20,3,9.4,50,17.01,3.35,1
P00291,LHR,international,2025-01-21T17:02,6,11.14,36,33.06,6.81,0
P00292,FRA,international,2025-01-22T20:07,5,7.33,48,30.65,9.32,1
P00293,BOD,domestic,2025-01-01T23:11,4,3.39,9,3.12,0.5,1
P00294,FRA,international,2025-01-23T11:18,1,3.34,17,9.35,2.83,1
P00295,DXB,international,2025-01-03T02:03,1,6.42,24,7.21,1.9,1
P00296,LYS,domestic,2025-01-10T13:53,8,5.38,27,14.04,14.65,1
P00297,LYS,domestic,2025-01-28T12:29,6,4.32,32,24.89,4.27,1
P00298,CDG,domestic,2025-01-11T21:21,1,4.37,25,5.37,4.44,1
P00299,LYS,domestic,2025-01-26T07:38,5,11.77,34,24.64,22.12,1
P00300,CDG,domestic,2025-01-11T12:40,7,38.4,114,168.98,26.64,0
P00301,FRA,international,2025-01-15T22:08,2,11.08,11,17.48,1.23,1
P00302,CDG,domestic,2025-01-17T15:35,6,5.54,33,27.62,31.62,1
P00303,BOD,domestic,2025-01-25T19:30,2,4.98,22,11.88,0.9,0
P00304,DXB,international,2025-01-16T01:32,1,3.89,22,6.61,6.97,1
P00305,AMS,international,2025-01-27T21:04,6,20.6,29,26.11,1.4,1
P00306,CDG,domestic,2025-01-28T10:34,5,1.09,33,18.77,11.54,1
P00307,FCO,international,2025-01-08T07:52,5,1.84,54,23.69,20.72,1
P00308,DXB,international,2025-01-25T01:53,3,6.26,44,16.8,13.96,1
P00309,DXB,international,2025-01-24T23:12,3,14.57,43,25.84,12.05,1
P00310,MAD,international,2025-01-14T01:56,4,5.88,25,11.8,18.86,1
P00311,AMS,international,2025-01-07T17:12,3,16.0,55,28.98,8.17,0
P00312,AMS,international,2025-01-23T14:40,2,23.73,24,20.45,1.54,1
P00313,DXB,international,2025-01-03T13:02,4,12.02,18,12.73,18.58,1
P00314,JFK,international,2025-01-23T23:13,1,0.73,21,7.32,2.97,1
P00315,BOD,domestic,2025-01-07T07:17,4,0.99,28,4.74,1.87,1
P00316,NCE,domestic,2025-01-27T06:43,6,21.8,34,33.42,13.92,1
P00317,NCE,domestic,2025-01-09T23:21,7,38.0,81,82.15,78.53,1
P00318,BOD,domestic,2025-01-25T14:21,6,4.76,31,31.12,36.18,1
P00319,FCO,international,2025-01-27T19:13,4,13.68,18,18.33,4.01,1
P00320,MAD,international,2025-01-12T13:36,7,129.64,109,446.42,119.34,0
P00321,FRA,international,2025-01-08T05:54,2,5.86,21,17.7,3.85,1
P00322,NCE,domestic,2025-01-06T20:11,9,4.29,28,11.66,5.12,1
P00323,ORY,domestic,2025-01-28T15:25,1,2.03,33,7.83,2.76,1
P00324,LHR,international,2025-01-06T12:06,2,4.35,17,23.11,7.84,0
P00325,FCO,international,2025-01-23T07:08,3,4.45,63,18.27,31.25,1
P00326,MAD,international,2025-01-07T21:56,7,109.93,80,658.76,147.02,1
P00327,AMS,international,2025-01-26T14:39,3,7.01,35,14.75,13.62,1
P00328,LYS,domestic,2025-01-09T02:10,1,2.48,31,8.38,1.63,1
P00329,FCO,international,2025-01-08T18:02,3,8.66,49,20.72,11.15,1
P00330,ORY,domestic,2025-01-13T01:56,3,10.22,46,23.44,4.16,1
P00331,ORY,domestic,2025-01-18T11:24,4,2.8,18,3.88,0.75,1
P00332,FCO,international,2025-01-20T13:03,8,8.75,28,29.29,34.88,1
P00333,JFK,international,2025-01-20T05:04,7,616.61,73,438.96,270.19,1
P00334,LHR,international,2025-01-06T17:51,3,5.79,63,17.0,10.32,1
P00335,BOD,domestic,2025-01-15T07:50,2,6.11,23,18.16,5.84,1
P00336,DXB,international,2025-01-03T19:25,9,14.95,16,8.67,1.85,1
P00337,AMS,international,2025-01-01T05:19,1,5.59,23,7.01,3.17,1
P00338,LYS,domestic,2025-01-10T06:33,3,5.47,67,28.66,23.07,1
P00339,MAD,international,2025-01-26T03:18,1,3.94,35,8.21,5.12,1
P00340,LHR,international,2025-01-17T02:34,1,1.76,30,13.77,4.24,1
P00341,LHR,international,2025-01-24T09:55,3,3.4,51,21.32,36.19,1
P00342,FRA,international,2025-01-15T01:41,8,11.35,26,31.01,5.22,1
P00343,JFK,international,2025-01-26T09:22,2,22.64,28,18.89,3.26,0
P00344,NCE,domestic,2025-01-19T13:18,4,0.97,17,3.43,1.09,1
P00345,LYS,domestic,2025-01-20T09:53,8,12.43,29,18.61,5.43,1
P00346,LHR,international,2025-01-01T11:35,4,1.49,19,12.18,3.03,1
P00347,LYS,domestic,2025-01-23T16:55,3,10.94,39,22.25,2.04,1
